date,GISS,HAD,NOAA,RSS,UAH
200001,0.16,0.206,0.2934,-0.057,-0.335
200002,0.51,0.361,0.4899,0.113,-0.089
200003,0.48,0.331,0.4858,0.14,-0.054
200004,0.51,0.45,0.6192,0.257,0.039
200005,0.28,0.241,0.4609,0.182,0.047
200006,0.36,0.234,0.3929,0.124,-0.004
200007,0.35,0.255,0.3764,0.057,-0.087
200008,0.38,0.339,0.4368,0.008,-0.116
200009,0.32,0.32,0.4011,0.12,-0.001
200010,0.17,0.194,0.2717,0.108,-0.024
200011,0.25,0.15,0.1885,0.025,-0.006
200012,0.21,0.164,0.2619,0.011,-0.043
200101,0.38,0.324,0.4284,0.101,-0.048
200102,0.39,0.286,0.3837,0.124,0.05
200103,0.53,0.487,0.6064,0.178,0.039
200104,0.4,0.43,0.5321,0.357,0.185
200105,0.49,0.39,0.5586,0.303,0.189
200106,0.45,0.413,0.5405,0.119,-0.01
200107,0.51,0.453,0.5398,0.179,0.061
200108,0.45,0.506,0.5843,0.433,0.253
200109,0.47,0.404,0.4715,0.206,0.089
200110,0.43,0.378,0.4735,0.327,0.185
200111,0.65,0.506,0.6462,0.326,0.172
200112,0.51,0.321,0.4606,0.285,0.173
200201,0.72,0.598,0.6648,0.358,0.201
200202,0.7,0.611,0.768,0.45,0.188
200203,0.87,0.609,0.7398,0.338,0.245
200204,0.55,0.445,0.5384,0.37,0.243
200205,0.56,0.443,0.539,0.324,0.308
200206,0.46,0.474,0.5833,0.398,0.312
200207,0.56,0.479,0.5951,0.37,0.219
200208,0.45,0.427,0.5167,0.301,0.176
200209,0.51,0.412,0.5321,0.292,0.24
200210,0.5,0.358,0.4565,0.121,0.122
200211,0.5,0.393,0.5695,0.27,0.246
200212,0.37,0.328,0.4131,0.209,0.144
200301,0.66,0.525,0.6443,0.445,0.286
200302,0.5,0.441,0.5498,0.322,0.168
200303,0.52,0.425,0.5255,0.235,0.086
200304,0.49,0.417,0.4979,0.297,0.149
200305,0.52,0.437,0.5668,0.348,0.22
200306,0.4,0.442,0.5249,0.144,0.025
200307,0.49,0.455,0.5442,0.282,0.109
200308,0.62,0.525,0.5931,0.277,0.111
200309,0.6,0.52,0.6071,0.325,0.187
200310,0.67,0.566,0.7068,0.437,0.292
200311,0.48,0.428,0.5365,0.351,0.215
200312,0.68,0.523,0.7013,0.448,0.364
200401,0.52,0.504,0.5536,0.318,0.184
200402,0.65,0.571,0.6757,0.328,0.204
200403,0.58,0.51,0.6476,0.444,0.317
200404,0.51,0.494,0.5627,0.274,0.151
200405,0.34,0.323,0.4333,0.156,0.048
200406,0.33,0.347,0.4716,0.1,0.017
200407,0.19,0.369,0.4565,0.001,-0.189
200408,0.41,0.416,0.4596,0.084,-0.058
200409,0.45,0.446,0.494,0.209,0.114
200410,0.57,0.478,0.5659,0.283,0.239
200411,0.65,0.526,0.7264,0.217,0.153
200412,0.5,0.376,0.4827,0.125,0.086
200501,0.71,0.461,0.5688,0.437,0.294
200502,0.56,0.38,0.4513,0.348,0.174
200503,0.69,0.499,0.6552,0.324,0.216
200504,0.61,0.534,0.6737,0.484,0.361
200505,0.56,0.481,0.6246,0.289,0.203
200506,0.59,0.512,0.6615,0.261,0.214
200507,0.56,0.536,0.6448,0.36,0.272
200508,0.56,0.509,0.5861,0.262,0.132
200509,0.68,0.513,0.6607,0.404,0.318
200510,0.72,0.508,0.6503,0.388,0.347
200511,0.64,0.483,0.6829,0.331,0.308
200512,0.61,0.37,0.5594,0.159,0.176
200601,0.46,0.319,0.4054,0.234,0.185
200602,0.61,0.448,0.5436,0.25,0.219
200603,0.58,0.38,0.5222,0.259,0.188
200604,0.42,0.37,0.46,0.238,0.137
200605,0.38,0.338,0.4817,0.073,-0.031
200606,0.55,0.438,0.6136,0.168,0.121
200607,0.42,0.444,0.5859,0.231,0.147
200608,0.65,0.493,0.5731,0.233,0.194
200609,0.57,0.422,0.6026,0.32,0.239
200610,0.59,0.48,0.6407,0.32,0.303
200611,0.64,0.445,0.5953,0.198,0.19
200612,0.71,0.523,0.7241,0.289,0.21
200701,0.89,0.61,0.819,0.546,0.408
200702,0.63,0.509,0.5928,0.335,0.215
200703,0.64,0.438,0.602,0.35,0.243
200704,0.68,0.472,0.6766,0.299,0.18
200705,0.6,0.373,0.5132,0.185,0.181
200706,0.52,0.384,0.4785,0.196,0.153
200707,0.55,0.407,0.4765,0.261,0.181
200708,0.54,0.364,0.4847,0.318,0.172
200709,0.5,0.412,0.5475,0.255,0.137
200710,0.54,0.367,0.5157,0.219,0.144
200711,0.47,0.269,0.4725,0.129,0.058
200712,0.4,0.215,0.4328,0.064,-0.058
200801,0.17,0.053,0.2227,-0.104,-0.302
200802,0.26,0.192,0.3527,-0.055,-0.258
200803,0.66,0.449,0.7113,0.049,-0.071
200804,0.43,0.271,0.4354,0.028,-0.022
200805,0.41,0.278,0.4369,-0.129,-0.191
200806,0.34,0.308,0.488,-0.03,-0.121
200807,0.52,0.417,0.5124,0.079,-0.009
200808,0.34,0.395,0.4901,0.066,-0.055
200809,0.53,0.376,0.4623,0.184,0.137
200810,0.55,0.443,0.6113,0.182,0.128
200811,0.58,0.393,0.6031,0.218,0.17
200812,0.47,0.327,0.4852,0.15,0.095
200901,0.55,0.387,0.501,0.252,0.145
200902,0.46,0.374,0.4891,0.194,0.154
200903,0.47,0.374,0.5106,0.155,0.092
200904,0.5,0.417,0.6011,0.172,0.06
200905,0.54,0.407,0.5299,0.055,0.06
200906,0.61,0.508,0.605,0.018,-0.011
200907,0.66,0.515,0.5675,0.329,0.359
200908,0.57,0.544,0.6271,0.243,0.173
200909,0.65,0.473,0.625,0.472,0.38
200910,0.61,0.442,0.5654,0.301,0.243
200911,0.68,0.448,0.5859,0.329,0.389
200912,0.6,0.427,0.5014,0.204,0.204
201001,0.7,0.489,0.6099,0.596,0.542
201002,0.75,0.481,0.6333,0.524,0.51
201003,0.85,0.582,0.7755,0.599,0.554
201004,0.75,0.572,0.729,0.506,0.4
201005,0.64,0.516,0.69,0.531,0.454
201006,0.55,0.541,0.657,0.494,0.385
201007,0.5,0.544,0.6413,0.564,0.419
201008,0.54,0.485,0.5642,0.554,0.441
201009,0.54,0.391,0.4851,0.511,0.477
201010,0.62,0.4,0.5429,0.303,0.306
201011,0.73,0.456,0.6998,0.316,0.273
201012,0.4,0.253,0.3786,0.22,0.181
201101,0.46,0.194,0.3768,0.084,-0.01
201102,NA,NA,NA,0.051,-0.018